DATE,IN
1995-01-01,1.12130
1995-04-01,1.05847
1995-07-01,1.04738
1995-10-01,1.77690
1996-01-01,-0.92144
1996-04-01,0.09790
1996-07-01,-0.14670
1996-10-01,0.63663
1997-01-01,1.02190
1997-04-01,2.64933
1997-07-01,2.15861
1997-10-01,1.42398
1998-01-01,2.03804
1998-04-01,1.24279
1998-07-01,0.65761
1998-10-01,-0.04355
1999-01-01,-0.34858
1999-04-01,1.48666
1999-07-01,0.94787
1999-10-01,1.92061
2000-01-01,2.59631
2000-04-01,3.02041
2000-07-01,1.30745
2000-10-01,1.56433
2001-01-01,1.50173
2001-04-01,-2.54173
2001-07-01,-0.31141
2001-10-01,-3.59235
2002-01-01,0.97205
2002-04-01,0.68191
2002-07-01,0.31873
2002-10-01,-0.67514
2003-01-01,0.39984
2003-04-01,-1.67264
2003-07-01,0.32402
2003-10-01,3.14897
2004-01-01,-0.46967
2004-04-01,1.61227
2004-07-01,0.61920
2004-10-01,-0.34615
2005-01-01,0.65612
2005-04-01,1.76380
2005-07-01,0.52751
2005-10-01,1.61169
2006-01-01,1.40170
2006-04-01,1.60058
2006-07-01,2.00501
2006-10-01,1.64970
2007-01-01,2.07182
2007-04-01,0.54127
2007-07-01,2.35532
2007-10-01,0.23011
2008-01-01,2.29583
2008-04-01,-1.44277
2008-07-01,-2.92778
2008-10-01,-6.73592
2009-01-01,-14.08552
2009-04-01,-1.92388
2009-07-01,0.29851
2009-10-01,1.10544
2010-01-01,2.52313
2010-04-01,4.63495
2010-07-01,1.60721
2010-10-01,4.62963
2011-01-01,1.40118
2011-04-01,1.12727
2011-07-01,1.07875
2011-10-01,0.07115
2012-01-01,-0.60434
2012-04-01,-1.32332
2012-07-01,1.44980
2012-10-01,-3.35834
2013-01-01,-0.44362
2013-04-01,2.37653
2013-07-01,-0.36271
2013-10-01,1.16491
2014-01-01,0.86362
2014-04-01,-0.17838
2014-07-01,0.28592
2014-10-01,0.17819
2015-01-01,5.37175
2015-04-01,1.65429
2015-07-01,0.36533
2015-10-01,-0.52945
2016-01-01,1.13107
2016-04-01,-0.03289
2016-07-01,-0.19743
2016-10-01,1.51665
2017-01-01,-0.29230
2017-04-01,0.74919
2017-07-01,3.00679
2017-10-01,3.13873
2018-01-01,-3.31710
2018-04-01,2.23481
2018-07-01,-1.35468
2018-10-01,0.15605
2019-01-01,0.24930
2019-04-01,-0.74604
2019-07-01,0.37582
2019-10-01,-0.40562
2020-01-01,-7.36216
2020-04-01,-19.61447
2020-07-01,22.12873
2020-10-01,10.50637
2021-01-01,-0.09352
2021-04-01,-0.56162
2021-07-01,-2.91810
2021-10-01,6.65805
2022-01-01,-2.84848
2022-04-01,9.57580
2022-07-01,-3.75747
2022-10-01,2.24786
